no,name,start,end,labelpos,arrpos
1,b1,X,Y,0.5,0.84
1,b2,M,Y,0.5,0.84
1,b3,XM,Y,0.5,0.84
2,b1,X,Y,0.5,0.84
2,b2,M,Y,0.5,0.84
2,b3,W,Y,0.5,0.84
2,b4,XM,Y,0.5,0.83
2,b5,XW,Y,0.5,0.83
76,a1i,X,Mi,0.5,0.76
76,a2i,W,Mi,0.5,0.79
76,a3i,Z,Mi,0.5,0.83
76,a4i,XW,Mi,0.5,0.86
76,a5i,XZ,Mi,0.5,0.88
76,b1i,Mi,Y,0.5,0.82
76,b2i,MiW,Y,0.5,0.84
76,b3i,MiZ,Y,0.5,0.84
76,c1,X,Y,0.5,0.84
76,c2,W,Y,0.5,0.84
76,c3,Z,Y,0.5,0.84
76,c4,XW,Y,0.5,0.84
76,c5,XZ,Y,0.5,0.82
4,ai,X,Mi,0.5,0.8
4,bi,Mi,Y,0.5,0.82
4,c,X,Y,0.5,0.84
5,ai,X,Mi,0.5,0.8
5,bi,Mi,Y,0.5,0.82
5,c1,X,Y,0.5,0.84
5,c2,W,Y,0.5,0.82
5,c3,XW,Y,0.5,0.79
7,a1i,X,Mi,0.5,0.8
7,bi,Mi,Y,0.5,0.82
7,c,X,Y,0.5,0.84
7,a2i,W,Mi,0.5,0.84
7,a3i,XW,Mi,0.5,0.87
8,a1i,X,Mi,0.5,0.8
8,bi,Mi,Y,0.5,0.82
8,c1,X,Y,0.5,0.84
8,a2i,W,Mi,0.5,0.84
8,a3i,XW,Mi,0.5,0.87
8,c2,W,Y,0.5,0.82
8,c3,XW,Y,0.5,0.8
9,a1i,X,Mi,0.5,0.8
9,bi,Mi,Y,0.5,0.82
9,a2i,W,Mi,0.5,0.84
9,a3i,Z,Mi,0.5,0.87
9,c,X,Y,0.5,0.85
9,a4i,XW,Mi,0.5,0.89
9,a5i,XZ,Mi,0.5,0.89
10,a1i,X,Mi,0.5,0.8
10,bi,Mi,Y,0.5,0.82
10,a2i,W,Mi,0.5,0.84
10,a3i,Z,Mi,0.5,0.87
10,c1,X,Y,0.5,0.85
10,a4i,XW,Mi,0.5,0.89
10,a5i,XZ,Mi,0.5,0.89
10,c2,W,Y,0.5,0.83
10,c3,Z,Y,0.5,0.83
10,c4,XW,Y,0.5,0.81
10,c5,XZ,Y,0.5,0.78
14,ai,X,Mi,0.5,0.8
14,b1i,Mi,Y,0.5,0.82
14,c,X,Y,0.5,0.84
14,b2,V,Y,0.5,0.84
14,b3i,MiV,Y,0.5,0.82
15,ai,X,Mi,0.5,0.8
15,b1i,Mi,Y,0.5,0.82
15,c1,X,Y,0.5,0.84
15,c2,V,Y,0.5,0.82
15,b2i,MiV,Y,0.5,0.8
15,c3,XV,Y,0.5,0.85
16,ai,X,Mi,0.5,0.8
16,b1i,Mi,Y,0.5,0.82
16,c,X,Y,0.5,0.84
16,b2,V,Y,0.5,0.87
16,b3,Q,Y,0.5,0.85
16,b4i,MiV,Y,0.5,0.89
16,b5i,MiQ,Y,0.5,0.89
17,ai,X,Mi,0.5,0.8
17,b1i,Mi,Y,0.5,0.82
17,c1,X,Y,0.5,0.84
17,c2,V,Y,0.5,0.82
17,b2i,MiV,Y,0.5,0.78
17,c3,Q,Y,0.5,0.82
17,c4,XV,Y,0.5,0.84
17,c5,XQ,Y,0.5,0.8
17,b3i,MiQ,Y,0.5,0.78
21,a1i,X,Mi,0.5,0.8
21,b1i,Mi,Y,0.5,0.82
21,c,X,Y,0.5,0.84
21,a2i,W,Mi,0.5,0.85
21,b2,V,Y,0.5,0.78
21,a3i,XW,Mi,0.5,0.9
21,b3i,MiV,Y,0.5,0.78
22,a1i,X,Mi,0.5,0.8
22,b1i,Mi,Y,0.5,0.82
22,c1,X,Y,0.5,0.84
22,a2i,W,Mi,0.5,0.85
22,b2,V,Y,0.5,0.78
