no,name,xpos,ypos
1,X,0,0.6
1,M,0,0.5
1,XM,0,0.4
1,Y,1,0.5
2,XM,0.05,0.7
2,M,0,0.6
2,X,0,0.5
2,W,0,0.4
2,XW,0.05,0.3
2,Y,1,0.5
76,X,0,0.6
76,W,0,0.5
76,Z,0,0.4
76,XW,0,0.3
76,XZ,0.05,0.2
76,Mi,0.5,0.8
76,Y,1,0.5
76,MiW,0.9,0.1
76,MiZ,1,0.1
4,X,0,0.4
4,Mi,0.5,0.7
4,Y,1,0.4
5,X,0,0.4
5,Mi,0.5,0.7
5,Y,1,0.4
5,W,0.05,0.3
5,XW,0.1,0.2
7,X,0,0.4
7,Mi,0.5,0.7
7,Y,1,0.4
7,W,0.05,0.3
7,XW,0.1,0.2
8,X,0,0.4
8,Mi,0.5,0.7
8,Y,1,0.4
8,W,0.05,0.3
8,XW,0.1,0.2
9,X,0,0.4
9,Mi,0.5,0.7
9,Y,1,0.4
9,W,0.025,0.3
9,Z,0.05,0.2
9,XW,0.1,0.1
9,XZ,0.2,0.1
10,X,0,0.4
10,Mi,0.5,0.7
10,Y,1,0.4
10,W,0.025,0.3
10,Z,0.05,0.2
10,XW,0.1,0.1
10,XZ,0.2,0.1
14,X,0,0.4
14,Mi,0.5,0.7
14,Y,1,0.4
14,V,0.05,0.3
14,MiV,0.1,0.2
15,X,0,0.4
15,Mi,0.5,0.7
15,Y,1,0.4
15,V,0.05,0.3
15,MiV,0.1,0.2
15,XV,0,0.5
16,X,0,0.4
16,Mi,0.5,0.7
16,Y,1,0.4
16,V,0.025,0.3
16,Q,0.05,0.2
16,MiV,0.1,0.1
16,MiQ,0.2,0.1
17,X,0,0.4
17,Mi,0.5,0.7
17,Y,1,0.4
17,V,0.025,0.3
17,Q,0.05,0.2
17,XQ,0.1,0.1
17,XV,0,0.5
17,MiV,0.9,0.1
17,MiQ,1,0.1
21,X,0,0.4
21,Mi,0.5,0.7
21,Y,1,0.4
21,W,0.05,0.25
21,XW,0.1,0.1
21,V,0.9,0.1
21,MiV,1,0.1
22,X,0,0.4
22,Mi,0.5,0.7
22,Y,1,0.4
22,W,0.05,0.25
22,XW,0.1,0.1
22,V,0.9,0.1
22,MiV,1,0.1
23,X,0,0.4
23,Mi,0.5,0.7
23,Y,1,0.4
23,W,0.025,0.3
23,Z,0.05,0.2
23,XW,0.1,0.1
23,XZ,0.2,0.1
23,V,0.9,0.1
23,MiV,1,0.1
24,X,0,0.4
24,Mi,0.5,0.7
24,Y,1,0.4
24,W,0.025,0.3
24,Z,0.05,0.2
24,XW,0.1,0.1
24,XZ,0.2,0.1
24,V,0.9,0.1
24,MiV,1,0.1
28,X,0,0.4
28,Mi,0.5,0.7
28,Y,1,0.4
28,W,0,0.3
28,XW,0.025,0.2
28,XV,0.1,0.1
28,V,0.9,0.1
28,MiV,1,0.1
