no,X,M,Y,modName,modSite,pos
1,X,,Y,M,c,3
2,X,,Y,M:W,c:c,"3,3"
4,X,Mi,Y,,,
4.2,X,M1:M2,Y,,,
5,X,Mi,Y,W,c,3
6,X,M1:M2,Y,,,
6.3,X,M1:M2:M3,Y,,,
6.4,X,M1:M2:M3:M4,Y,,,
7,X,Mi,Y,W,a,1
8,X,Mi,Y,W,"a,c",1
9,X,Mi,Y,W:Z,a:a,"1,3"
10,X,Mi,Y,W:Z,"a,c:a,c","1,3"
14,X,Mi,Y,V,b,2
15,X,Mi,Y,V,"b,c",2
16,X,Mi,Y,V:Q,b:b,"2,3"
17,X,Mi,Y,V:Q,"b,c:b,c","2,4"
21,X,Mi,Y,W:V,a:b,"1,2"
22,X,Mi,Y,W:V,"a,c:b","1,2"
23,X,Mi,Y,W:V:Z,a:b:a,"1,2,3"
24,X,Mi,Y,W:V:Z,"a,c:b:a,c","1,2,3"
28,X,Mi,Y,W:V,"a:b,c","1,2"
29,X,Mi,Y,W:V,"a,c:b,c","1,2"
30,X,Mi,Y,W:V:Z,"a:b,c:a","1,2,3"
31,X,Mi,Y,W:V:Z,"a,c:b,c:a,c","1,2,3"
35,X,Mi,Y,W:V:Q,a:b:b,"1,2,3"
36,X,Mi,Y,W:V:Q,"a:b,c:b,c","1,2,3"
40,X,Mi,Y,W:V:Q,"a:b,c:b,c","1,2,3"
41,X,Mi,Y,W:V:Q,"a,c:b,c:b,c","1,2,3"
45,X,Mi,Y,W:V:Z:Q,a:b:a:b,"1,2,3,3"
49,X,Mi,Y,W:V:Z:Q,"a,c:b:a,c:b","1,2,3,3"
50,X,Mi,Y,W:V:Z:Q,"a:b,c:a:b,c","1,2,3,3"
58,X,Mi,Y,W,"a,b",3
59,X,Mi,Y,W,"a,b,c",3
60,X,Mi,Y,Z:W,"a:a,b","1,3"
61,X,Mi,Y,Z:W,"a:a,b,c","1,3"
62,X,Mi,Y,Z:W,"a,c:a,b","1,3"
63,X,Mi,Y,Z:W,"a,c:a,b,c","1,3"
64,X,Mi,Y,W:V,"a,b:b","3,2"
65,X,Mi,Y,W:V,"a,b,c:b","3,2"
66,X,Mi,Y,W:V,"a,b:b,c","3,2"
67,X,Mi,Y,W:V,"a,b,c:b,c","3,2"
74,X,Mi,Y,X,b,
75,X,Mi,Y,W:Z,"a,b:a,b","3,3"
76,X,Mi,Y,W:Z,"a,b,c:a,b,c","3,3"
